,week,position,name,analyst,error
0,1,K,Evan McPherson,overall_rank_error,23.0
1,1,K,Harrison Butker,overall_rank_error,14.0
2,1,K,Justin Tucker,overall_rank_error,15.0
3,1,K,Ka'imi Fairbairn,overall_rank_error,1.0
4,1,K,Jake Elliott,overall_rank_error,6.0
5,1,K,Tyler Bass,overall_rank_error,5.0
6,1,K,Brandon Aubrey,overall_rank_error,3.0
7,1,K,Jason Sanders,overall_rank_error,3.0
8,1,K,Younghoe Koo,overall_rank_error,18.0
9,1,K,Jake Moody,overall_rank_error,9.0
10,1,K,Cairo Santos,overall_rank_error,4.0
11,1,K,Jason Myers,overall_rank_error,1.0
12,1,K,Jake Bates,overall_rank_error,
13,1,K,Cameron Dicker,overall_rank_error,
14,1,K,Blake Grupe,overall_rank_error,
15,1,K,Dustin Hopkins,overall_rank_error,
16,1,K,Chase McLaughlin,overall_rank_error,
17,1,K,Daniel Carlson,overall_rank_error,
18,1,K,Chris Boswell,overall_rank_error,
19,1,K,Greg Zuerlein,overall_rank_error,
20,1,K,Joshua Karty,overall_rank_error,
21,1,K,Matt Prater,overall_rank_error,
22,1,K,Graham Gano,overall_rank_error,
23,1,K,Will Reichard,overall_rank_error,
24,1,K,Eddy Pineiro,overall_rank_error,
25,1,K,Cam Little,overall_rank_error,
26,1,K,Wil Lutz,overall_rank_error,
27,1,K,Joey Slye,overall_rank_error,
28,1,K,Brayden Narveson,overall_rank_error,
29,1,K,Nick Folk,overall_rank_error,
30,1,K,Spencer Shrader,overall_rank_error,
31,1,K,Cade York,overall_rank_error,
32,2,K,Justin Tucker,overall_rank_error,6.0
33,2,K,Harrison Butker,overall_rank_error,11.0
34,2,K,Brandon Aubrey,overall_rank_error,1.0
35,2,K,Ka'imi Fairbairn,overall_rank_error,2.0
36,2,K,Jake Elliott,overall_rank_error,17.0
37,2,K,Tyler Bass,overall_rank_error,13.0
38,2,K,Jake Moody,overall_rank_error,20.0
39,2,K,Jason Sanders,overall_rank_error,20.0
40,2,K,Evan McPherson,overall_rank_error,4.0
41,2,K,Chris Boswell,overall_rank_error,8.0
42,2,K,Younghoe Koo,overall_rank_error,2.0
43,2,K,Cameron Dicker,overall_rank_error,1.0
44,2,K,Cairo Santos,overall_rank_error,
45,2,K,Jake Bates,overall_rank_error,
46,2,K,Jason Myers,overall_rank_error,
47,2,K,Blake Grupe,overall_rank_error,
48,2,K,Chase McLaughlin,overall_rank_error,
