,week,position,name,overall_rank,Andy Behrens,Scott Pianowski,Dalton Del Don,Matt Harmon,Kate Magdziuk,Tera Roberts,points,ranking,overall_rank_error,Andy Behrens_error,Scott Pianowski_error,Dalton Del Don_error,Matt Harmon_error,Kate Magdziuk_error,Tera Roberts_error
0,1,K,Evan McPherson,1.0,4.0,2.0,1.0,3.0,1.0,1.0,6,24.0,23.0,20.0,22.0,23.0,21.0,23.0,23.0
1,1,K,Harrison Butker,2.0,1.0,3.0,4.0,2.0,2.0,2.0,9,16.0,14.0,15.0,13.0,12.0,14.0,14.0,14.0
2,1,K,Justin Tucker,3.0,3.0,1.0,3.0,1.0,4.0,4.0,8,18.0,15.0,15.0,17.0,15.0,17.0,14.0,14.0
3,1,K,Ka'imi Fairbairn,4.0,6.0,4.0,2.0,5.0,6.0,5.0,17,5.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0
4,1,K,Jake Elliott,5.0,2.0,6.0,8.0,4.0,3.0,6.0,10,11.0,6.0,9.0,5.0,3.0,7.0,8.0,5.0
5,1,K,Tyler Bass,6.0,7.0,7.0,,6.0,5.0,3.0,10,11.0,5.0,4.0,4.0,,5.0,6.0,8.0
6,1,K,Brandon Aubrey,7.0,5.0,5.0,11.0,8.0,8.0,9.0,21,4.0,3.0,1.0,1.0,7.0,4.0,4.0,5.0
7,1,K,Jason Sanders,8.0,8.0,8.0,9.0,7.0,9.0,7.0,10,11.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0
8,1,K,Younghoe Koo,9.0,10.0,9.0,7.0,9.0,10.0,8.0,4,27.0,18.0,17.0,18.0,20.0,18.0,17.0,19.0
9,1,K,Jake Moody,10.0,9.0,10.0,5.0,10.0,11.0,10.0,26,1.0,9.0,8.0,9.0,4.0,9.0,10.0,9.0
10,1,K,Cairo Santos,11.0,,11.0,6.0,11.0,7.0,,13,7.0,4.0,,4.0,1.0,4.0,0.0,
11,1,K,Jason Myers,12.0,,,,12.0,,11.0,10,11.0,1.0,,,,1.0,,0.0
12,1,K,Jake Bates,,11.0,,10.0,,,,8,18.0,,7.0,,8.0,,,
13,1,K,Cameron Dicker,,,,12.0,,,12.0,12,8.0,,,,4.0,,,4.0
14,1,K,Blake Grupe,,,,,,,,22,3.0,,,,,,,
15,1,K,Dustin Hopkins,,,,,,,,7,22.0,,,,,,,
16,1,K,Chase McLaughlin,,,,,,,,15,6.0,,,,,,,
17,1,K,Daniel Carlson,,,,,,,,4,27.0,,,,,,,
18,1,K,Chris Boswell,,,,,,,,26,1.0,,,,,,,
19,1,K,Greg Zuerlein,,12.0,,,,,,1,32.0,,20.0,,,,,
20,1,K,Joshua Karty,,,12.0,,,,,9,16.0,,,4.0,,,,
21,1,K,Matt Prater,,,,,,,,8,18.0,,,,,,,
22,1,K,Graham Gano,,,,,,,,8,18.0,,,,,,,
23,1,K,Will Reichard,,,,,,,,4,27.0,,,,,,,
24,1,K,Eddy Pineiro,,,,,,,,5,26.0,,,,,,,
25,1,K,Cam Little,,,,,,,,7,22.0,,,,,,,
26,1,K,Wil Lutz,,,,,,,,11,9.0,,,,,,,
27,1,K,Joey Slye,,,,,,12.0,,10,11.0,,,,,,1.0,
28,1,K,Brayden Narveson,,,,,,,,11,9.0,,,,,,,
29,1,K,Nick Folk,,,,,,,,6,24.0,,,,,,,
30,1,K,Spencer Shrader,,,,,,,,3,30.0,,,,,,,
31,1,K,Cade York,,,,,,,,2,31.0,,,,,,,
32,2,K,Justin Tucker,1.0,3.0,2.0,2.0,2.0,1.0,4.0,13,7.0,6.0,4.0,5.0,5.0,5.0,6.0,3.0
33,2,K,Harrison Butker,2.0,2.0,3.0,3.0,1.0,5.0,1.0,10,13.0,11.0,11.0,10.0,10.0,12.0,8.0,12.0
34,2,K,Brandon Aubrey,3.0,1.0,1.0,1.0,5.0,6.0,8.0,17,4.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0
35,2,K,Ka'imi Fairbairn,4.0,4.0,4.0,5.0,3.0,4.0,2.0,20,2.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0
36,2,K,Jake Elliott,5.0,6.0,5.0,6.0,4.0,2.0,5.0,7,22.0,17.0,16.0,17.0,16.0,18.0,20.0,17.0
37,2,K,Tyler Bass,6.0,8.0,8.0,9.0,6.0,3.0,6.0,8,19.0,13.0,11.0,11.0,10.0,13.0,16.0,13.0
38,2,K,Jake Moody,7.0,5.0,6.0,4.0,8.0,8.0,10.0,5,27.0,20.0,22.0,21.0,23.0,19.0,19.0,17.0
39,2,K,Jason Sanders,8.0,9.0,7.0,10.0,7.0,7.0,7.0,4,28.0,20.0,19.0,21.0,18.0,21.0,21.0,21.0
40,2,K,Evan McPherson,9.0,7.0,9.0,,9.0,10.0,3.0,16,5.0,4.0,2.0,4.0,,4.0,5.0,2.0
41,2,K,Chris Boswell,10.0,11.0,12.0,8.0,12.0,9.0,12.0,9,18.0,8.0,7.0,6.0,10.0,6.0,9.0,6.0
42,2,K,Younghoe Koo,11.0,,10.0,12.0,10.0,12.0,9.0,10,13.0,2.0,,3.0,1.0,3.0,1.0,4.0
43,2,K,Cameron Dicker,12.0,10.0,11.0,,,11.0,,10,13.0,1.0,3.0,2.0,,,2.0,
44,2,K,Cairo Santos,,12.0,,,11.0,,,11,11.0,,1.0,,,0.0,,
45,2,K,Jake Bates,,,,7.0,,,,10,13.0,,,,6.0,,,
46,2,K,Jason Myers,,,,,,,,12,9.0,,,,,,,
47,2,K,Blake Grupe,,,,,,,11.0,8,19.0,,,,,,,8.0
48,2,K,Chase McLaughlin,,,,,,,,10,13.0,,,,,,,
49,2,K,Joshua Karty,,,,11.0,,,,4,28.0,,,,17.0,,,
50,2,K,Greg Zuerlein,,,,,,,,6,24.0,,,,,,,
51,2,K,Dustin Hopkins,,,,,,,,13,7.0,,,,,,,
52,2,K,Matt Prater,,,,,,,,14,6.0,,,,,,,
53,2,K,Daniel Carlson,,,,,,,,18,3.0,,,,,,,
54,2,K,Cam Little,,,,,,,,7,22.0,,,,,,,
55,2,K,Will Reichard,,,,,,,,11,11.0,,,,,,,
56,2,K,Wil Lutz,,,,,,,,6,24.0,,,,,,,
57,2,K,Nick Folk,,,,,,,,6,24.0,,,,,,,
58,2,K,Eddy Pineiro,,,,,,,,3,31.0,,,,,,,
59,2,K,Brayden Narveson,,,,,,,,12,9.0,,,,,,,
60,3,K,Harrison Butker,1.0,2.0,1.0,3.0,2.0,1.0,2.0,13,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
61,3,K,Jake Moody,2.0,3.0,4.0,2.0,1.0,3.0,1.0,6,15.0,13.0,12.0,11.0,13.0,14.0,12.0,14.0
62,3,K,Brandon Aubrey,3.0,1.0,2.0,1.0,4.0,2.0,4.0,11,7.0,4.0,6.0,5.0,6.0,3.0,5.0,3.0
63,3,K,Ka'imi Fairbairn,4.0,4.0,3.0,6.0,3.0,4.0,5.0,1,29.0,25.0,25.0,26.0,23.0,26.0,25.0,24.0
