week,position,name,points
1,K,Justin Tucker,8
1,K,Harrison Butker,9
2,K,Chris Boswell,9
2,K,Wil Lutz,6
2,K,Joshua Karty,4
2,K,Matt Prater,14
2,K,Jason Myers,12
2,K,Joey Slye,8
2,K,Chase McLaughlin,10
2,K,Jake Bates,10
2,K,Daniel Carlson,18
2,K,Justin Tucker,13
2,K,Dustin Hopkins,13
2,K,Cam Little,7
2,K,Cameron Dicker,10
2,K,Eddy Pineiro,3
2,K,Jamie Gillan,0
2,K,Austin Seibert,22
2,K,Greg Zuerlein,6
2,K,Nick Folk,6
2,K,Matt Gay,4
2,K,Brayden Narveson,12
2,K,Blake Grupe,8
2,K,Brandon Aubrey,17
2,K,Jake Moody,5
2,K,Will Reichard,11
2,K,Tyler Bass,8
2,K,Jason Sanders,4
1,K,Greg Zuerlein,1
1,K,Jake Moody,26
1,K,Joshua Karty,9
1,K,Jake Bates,8
15,K,Joey Slye,7
15,K,Chad Ryland,14
15,K,Harrison Butker,3
15,K,Riley Patterson,1
15,K,Anders Carlson,7
15,K,Cam Little,15
15,K,Brandon Aubrey,16
15,K,Eddy Pineiro,2
15,K,Justin Tucker,5
15,K,Graham Gano,2
15,K,Greg Joseph,9
15,K,Blake Grupe,10
15,K,Cade York,7
15,K,Nick Folk,3
15,K,Jason Sanders,8
15,K,Ka'imi Fairbairn,9
15,K,Joshua Karty,13
15,K,Jake Moody,9
14,K,Cade York,9
14,K,Brandon Aubrey,9
14,K,Cameron Dicker,5
14,K,Matthew Wright,16
14,K,Tyler Bass,6
14,K,Joshua Karty,8
14,K,Cairo Santos,1
14,K,Jake Moody,8
14,K,Jason Myers,12
14,K,Chad Ryland,4
14,K,Daniel Carlson,7
14,K,Chase McLaughlin,4
14,K,Anders Carlson,16
14,K,Jason Sanders,16
14,K,Dustin Hopkins,2
14,K,Chris Boswell,11
14,K,Eddy Pineiro,4
14,K,Jake Elliott,2
14,K,Blake Grupe,2
14,K,Graham Gano,4
14,K,Younghoe Koo,7
14,K,Will Reichard,6
14,K,Cam Little,4
14,K,Nick Folk,7
14,K,Brandon McManus,7
14,K,Jake Bates,11
13,K,Dustin Hopkins,7
13,K,Wil Lutz,11
13,K,Jake Moody,4
13,K,Tyler Bass,5
13,K,Jake Elliott,6
13,K,Justin Tucker,9
13,K,Chase McLaughlin,16
13,K,Eddy Pineiro,12
13,K,Joshua Karty,3
13,K,Blake Grupe,10
13,K,Ka'imi Fairbairn,13
13,K,Cam Little,6
13,K,Nick Folk,9
13,K,Zane Gonzalez,6
13,K,Jason Myers,11
13,K,Anders Carlson,1
13,K,Chris Boswell,16
13,K,Evan McPherson,8
13,K,Cameron Dicker,12
13,K,Younghoe Koo,8
13,K,Matt Gay,5
13,K,Joey Slye,12
13,K,Chad Ryland,17
13,K,John Parker Romo,14
13,K,Daniel Carlson,5
13,K,Matthew Wright,14
13,K,Jason Sanders,3
13,K,Brandon McManus,13
13,K,Graham Gano,10
13,K,Brandon Aubrey,9
13,K,Cairo Santos,2
13,K,Jake Bates,12
12,K,Justin Tucker,7
12,K,Cameron Dicker,16
12,K,Jake Elliott,13
12,K,Joshua Karty,2
12,K,Jake Moody,5
12,K,Brandon McManus,10
